geoId,dateRep,year_week,cases,deaths,countriesAndTerritories,countryterritoryCode,popData2019,continentExp
AF,3/10/2020,2020-10,5,0,Afghanistan,AFG,38041757,Asia
AF,2/10/2020,2020-10,17,0,Afghanistan,AFG,38041757,Asia
AF,1/10/2020,2020-10,14,0,Afghanistan,AFG,38041757,Asia
AF,30/09/2020,2020-9,15,2,Afghanistan,AFG,38041757,Asia
AF,29/09/2020,2020-9,12,3,Afghanistan,AFG,38041757,Asia
AF,28/09/2020,2020-9,0,0,Afghanistan,AFG,38041757,Asia
AF,27/09/2020,2020-9,35,0,Afghanistan,AFG,38041757,Asia
AF,26/09/2020,2020-9,6,2,Afghanistan,AFG,38041757,Asia
AF,25/09/2020,2020-9,16,0,Afghanistan,AFG,38041757,Asia
AF,24/09/2020,2020-9,25,5,Afghanistan,AFG,38041757,Asia
AF,23/09/2020,2020-9,71,2,Afghanistan,AFG,38041757,Asia
AF,22/09/2020,2020-9,30,3,Afghanistan,AFG,38041757,Asia
AF,21/09/2020,2020-9,0,0,Afghanistan,AFG,38041757,Asia
AF,20/09/2020,2020-9,125,4,Afghanistan,AFG,38041757,Asia
AF,19/09/2020,2020-9,47,1,Afghanistan,AFG,38041757,Asia
AF,18/09/2020,2020-9,0,0,Afghanistan,AFG,38041757,Asia
AF,17/09/2020,2020-9,17,0,Afghanistan,AFG,38041757,Asia
AF,16/09/2020,2020-9,40,10,Afghanistan,AFG,38041757,Asia
AF,15/09/2020,2020-9,99,6,Afghanistan,AFG,38041757,Asia
AF,14/09/2020,2020-9,75,0,Afghanistan,AFG,38041757,Asia
AF,13/09/2020,2020-9,35,0,Afghanistan,AFG,38041757,Asia
AF,12/9/2020,2020-9,34,0,Afghanistan,AFG,38041757,Asia
AF,11/9/2020,2020-9,28,0,Afghanistan,AFG,38041757,Asia
AF,10/9/2020,2020-9,24,2,Afghanistan,AFG,38041757,Asia
AF,9/9/2020,2020-9,26,3,Afghanistan,AFG,38041757,Asia
AF,8/9/2020,2020-9,96,3,Afghanistan,AFG,38041757,Asia
AF,7/9/2020,2020-9,74,2,Afghanistan,AFG,38041757,Asia
AF,6/9/2020,2020-9,20,0,Afghanistan,AFG,38041757,Asia
AF,5/9/2020,2020-9,16,0,Afghanistan,AFG,38041757,Asia
AF,4/9/2020,2020-9,45,1,Afghanistan,AFG,38041757,Asia
AF,3/9/2020,2020-9,38,3,Afghanistan,AFG,38041757,Asia
AF,2/9/2020,2020-9,9,0,Afghanistan,AFG,38041757,Asia
AF,1/9/2020,2020-9,34,4,Afghanistan,AFG,38041757,Asia
AF,31/08/2020,2020-8,19,0,Afghanistan,AFG,38041757,Asia
AF,30/08/2020,2020-8,3,0,Afghanistan,AFG,38041757,Asia
AF,29/08/2020,2020-8,11,1,Afghanistan,AFG,38041757,Asia
AF,28/08/2020,2020-8,3,0,Afghanistan,AFG,38041757,Asia
AF,27/08/2020,2020-8,55,4,Afghanistan,AFG,38041757,Asia
AF,26/08/2020,2020-8,1,0,Afghanistan,AFG,38041757,Asia
AF,25/08/2020,2020-8,71,10,Afghanistan,AFG,38041757,Asia
AF,24/08/2020,2020-8,0,0,Afghanistan,AFG,38041757,Asia
AF,23/08/2020,2020-8,105,2,Afghanistan,AFG,38041757,Asia
AF,22/08/2020,2020-8,38,0,Afghanistan,AFG,38041757,Asia
AF,21/08/2020,2020-8,97,2,Afghanistan,AFG,38041757,Asia
AF,20/08/2020,2020-8,160,8,Afghanistan,AFG,38041757,Asia
AF,19/08/2020,2020-8,0,0,Afghanistan,AFG,38041757,Asia
AF,18/08/2020,2020-8,3,0,Afghanistan,AFG,38041757,Asia
AF,17/08/2020,2020-8,45,5,Afghanistan,AFG,38041757,Asia
AF,16/08/2020,2020-8,120,7,Afghanistan,AFG,38041757,Asia
AF,15/08/2020,2020-8,7,0,Afghanistan,AFG,38041757,Asia
AF,14/08/2020,2020-8,79,9,Afghanistan,AFG,38041757,Asia
AF,13/08/2020,2020-8,76,10,Afghanistan,AFG,38041757,Asia
AF,12/8/2020,2020-8,215,32,Afghanistan,AFG,38041757,Asia
AF,11/8/2020,2020-8,0,0,Afghanistan,AFG,38041757,Asia
AF,10/8/2020,2020-8,0,0,Afghanistan,AFG,38041757,Asia
AF,9/8/2020,2020-8,39,5,Afghanistan,AFG,38041757,Asia
AF,8/8/2020,2020-8,78,9,Afghanistan,AFG,38041757,Asia
AF,7/8/2020,2020-8,41,0,Afghanistan,AFG,38041757,Asia
AF,6/8/2020,2020-8,67,4,Afghanistan,AFG,38041757,Asia
AF,5/8/2020,2020-8,82,6,Afghanistan,AFG,38041757,Asia
AF,4/8/2020,2020-8,37,4,Afghanistan,AFG,38041757,Asia
AF,3/8/2020,2020-8,0,1,Afghanistan,AFG,38041757,Asia
AF,2/8/2020,2020-8,0,0,Afghanistan,AFG,38041757,Asia
AF,1/8/2020,2020-8,168,12,Afghanistan,AFG,38041757,Asia
AF,31/07/2020,2020-7,71,0,Afghanistan,AFG,38041757,Asia
AF,30/07/2020,2020-7,0,0,Afghanistan,AFG,38041757,Asia
AF,29/07/2020,2020-7,103,1,Afghanistan,AFG,38041757,Asia
AF,28/07/2020,2020-7,105,1,Afghanistan,AFG,38041757,Asia
AF,27/07/2020,2020-7,106,10,Afghanistan,AFG,38041757,Asia
AF,26/07/2020,2020-7,121,13,Afghanistan,AFG,38041757,Asia
AF,25/07/2020,2020-7,108,35,Afghanistan,AFG,38041757,Asia
AF,24/07/2020,2020-7,13,0,Afghanistan,AFG,38041757,Asia
AF,23/07/2020,2020-7,188,21,Afghanistan,AFG,38041757,Asia
AF,22/07/2020,2020-7,112,4,Afghanistan,AFG,38041757,Asia
AF,21/07/2020,2020-7,140,5,Afghanistan,AFG,38041757,Asia
AF,20/07/2020,2020-7,174,17,Afghanistan,AFG,38041757,Asia
AF,19/07/2020,2020-7,12,17,Afghanistan,AFG,38041757,Asia
AF,18/07/2020,2020-7,219,32,Afghanistan,AFG,38041757,Asia
AF,17/07/2020,2020-7,76,21,Afghanistan,AFG,38041757,Asia
AF,16/07/2020,2020-7,254,49,Afghanistan,AFG,38041757,Asia
AF,15/07/2020,2020-7,285,33,Afghanistan,AFG,38041757,Asia
AF,14/07/2020,2020-7,4,2,Afghanistan,AFG,38041757,Asia
AF,13/07/2020,2020-7,0,0,Afghanistan,AFG,38041757,Asia
AF,12/7/2020,2020-7,85,16,Afghanistan,AFG,38041757,Asia
AF,11/7/2020,2020-7,458,37,Afghanistan,AFG,38041757,Asia
AF,10/7/2020,2020-7,255,20,Afghanistan,AFG,38041757,Asia
AF,9/7/2020,2020-7,59,1,Afghanistan,AFG,38041757,Asia
AF,8/7/2020,2020-7,210,16,Afghanistan,AFG,38041757,Asia
AF,7/7/2020,2020-7,433,56,Afghanistan,AFG,38041757,Asia
AF,6/7/2020,2020-7,279,38,Afghanistan,AFG,38041757,Asia
AF,5/7/2020,2020-7,348,7,Afghanistan,AFG,38041757,Asia
AF,4/7/2020,2020-7,302,12,Afghanistan,AFG,38041757,Asia
AF,3/7/2020,2020-7,186,33,Afghanistan,AFG,38041757,Asia
AF,2/7/2020,2020-7,319,28,Afghanistan,AFG,38041757,Asia
AF,1/7/2020,2020-7,279,13,Afghanistan,AFG,38041757,Asia
AF,30/06/2020,2020-6,271,12,Afghanistan,AFG,38041757,Asia
AF,29/06/2020,2020-6,351,18,Afghanistan,AFG,38041757,Asia
AF,28/06/2020,2020-6,165,20,Afghanistan,AFG,38041757,Asia
AF,27/06/2020,2020-6,276,8,Afghanistan,AFG,38041757,Asia
AF,26/06/2020,2020-6,460,36,Afghanistan,AFG,38041757,Asia
